csrfmiddlewaretoken,aKBM5sIwhtkDQxN2IV8Wse1EGX8sD7iGJAL2GJODS8Mi9yoNyK3YEsnkWdecmyfb
,
incomeSource,salary
,
incomeAmount,40000
,
csrfmiddlewaretoken,nE6HbHzdpaQfSj2isU0fHaMbDyqBksE4WugXMYFk0PiUbkD3iJVhTo8RTOwl3TBz
,
incomeSource,sa
,
incomeAmount,5000
,
csrfmiddlewaretoken,48LpheElPYwFRL2ngxzbDzEuJW6NyGBN9nCXmdZzf9FlVrFUJI30r23tN2uRv52d
,
incomeSource,salary
,
incomeAmount,34000
csrfmiddlewaretoken,DUwcBnhYlb3ZOKR4EA1C7YNaIrBBztXMI9nKGmCcLmcFSquB7LvrVrc9MxZFwSoc
,
incomeSource,stocks
,
incomeAmount,5000
csrfmiddlewaretoken,Q7v3QyBPcgSDsGEgFfA3gsRwr3ENrmvDtJ9lm1aYBxwnWe95DVo2eIhvaPL182yN
,
incomeSource,interest
,
incomeAmount,2500
,
csrfmiddlewaretoken,Q7v3QyBPcgSDsGEgFfA3gsRwr3ENrmvDtJ9lm1aYBxwnWe95DVo2eIhvaPL182yN
,
incomeSource,interest
,
incomeAmount,2500
,
csrfmiddlewaretoken,XeOtRRl10FYpjuaswdkslfrV3lofhbNwAQsLnkUapWC9N2FhuT8rjvRUM7vtYRQG
,
incomeSource,interest
,
incomeAmount,1000
,
csrfmiddlewaretoken,XeOtRRl10FYpjuaswdkslfrV3lofhbNwAQsLnkUapWC9N2FhuT8rjvRUM7vtYRQG
,
incomeSource,interest
,
incomeAmount,1000
csrfmiddlewaretoken,VeuSzRIhufOlsMGDMcdNOIaqh304o3uTavzZtrFxnvbt2qlAYg1svvYNcJrWNxpo
incomeSource,salary
incomeAmount,50000
csrfmiddlewaretoken,guL786hlnbeXi0ooMpF4mML4Ri01F92IMb56MFh38z3XavLMV1Jit5ofYYQQQJ3T
incomeSource,stocks
incomeAmount,8000
